Time, Vsupply, ia, dca, current, tension, current_case, frequence, inductance_line
0.137, 4.66, 4.655, 0.0, 4.655, 1.897, 0, 1000, 0.0
0.138, 4.63, 4.633, 0.0, 4.633, 1.897, 0, 1000, 0.0
0.139, 4.63, 4.629, 0.0, 4.629, 1.897, 0, 1000, 0.0
0.14, 4.64, 4.64, 0.0, 4.64, 1.897, 0, 1000, 0.0
0.141, 4.61, 4.613, 0.0, 4.613, 1.897, 0, 1000, 0.0
0.142, 4.63, 4.63, 0.0, 4.63, 1.897, 0, 1000, 0.0
0.143, 4.66, 4.655, 0.0, 4.655, 1.897, 0, 1000, 0.0
0.144, 4.64, 4.64, 0.0, 4.64, 1.897, 0, 1000, 0.0
0.145, 4.66, 4.663, 0.0, 4.663, 1.897, 0, 1000, 0.0
0.146, 4.65, 4.647, 0.0, 4.647, 1.897, 0, 1000, 0.0
0.147, 4.67, 4.669, 0.0, 4.669, 1.897, 0, 1000, 0.0
0.148, 4.67, 4.668, 0.0, 4.668, 1.897, 0, 1000, 0.0
0.149, 4.63, 4.626, 0.0, 4.626, 1.897, 0, 1000, 0.0
0.15, 4.61, 4.614, 0.0, 4.614, 1.897, 0, 1000, 0.0
0.151, 4.63, 4.632, 0.0, 4.632, 1.897, 0, 1000, 0.0
0.152, 4.66, 4.662, 0.0, 4.662, 1.897, 0, 1000, 0.0
0.153, 4.66, 4.66, 0.0, 4.66, 1.897, 0, 1000, 0.0
0.154, 4.67, 4.667, 0.0, 4.667, 1.897, 0, 1000, 0.0
0.155, 4.66, 4.659, 0.0, 4.659, 1.897, 0, 1000, 0.0
0.156, 4.63, 4.626, 0.0, 4.626, 1.897, 0, 1000, 0.0
0.157, 4.64, 4.64, 0.0, 4.64, 1.897, 0, 1000, 0.0
0.158, 4.65, 4.651, 0.0, 4.651, 1.897, 0, 1000, 0.0
0.159, 4.69, 4.688, 0.0, 4.688, 1.897, 0, 1000, 0.0
0.16, 4.65, 4.646, 0.0, 4.646, 1.897, 0, 1000, 0.0
