Time, Vsupply, ia, ib, ic, dca, dcb, dcc, dc_activated
0.213, 17.71, 2.123, 2.019, 0.05, 0.06, 0.0, 0.0, 0
0.214, 17.71, 2.178, 2.014, 0.05, 0.06, 0.0, 0.0, 0
0.215, 17.71, 2.119, 2.015, 0.05, 0.06, 0.0, 0.0, 0
0.216, 17.71, 2.135, 2.02, 0.05, 0.06, 0.0, 0.0, 0
0.217, 17.71, 2.205, 2.009, 0.05, 0.051, 0.0, 0.0, 0
0.218, 17.71, 2.16, 2.013, 0.05, 0.06, 0.0, 0.0, 0
0.219, 17.71, 2.18, 2.02, 0.05, 0.06, 0.0, 0.0, 0
0.22, 17.71, 2.205, 2.02, 0.05, 0.059, 0.0, 0.0, 0
0.221, 17.72, 2.199, 2.016, 0.05, 0.059, 0.0, 0.0, 0
0.222, 17.71, 2.228, 2.018, 0.05, 0.048, 0.0, 0.0, 0
0.223, 17.71, 2.22, 2.013, 0.05, 0.057, 0.0, 0.0, 0
0.224, 17.71, 2.152, 2.012, 0.05, 0.06, 0.0, 0.0, 0
0.225, 17.71, 2.228, 2.016, 0.05, 0.048, 0.0, 0.0, 0
0.226, 17.71, 2.192, 2.021, 0.05, 0.048, 0.0, 0.0, 0
0.227, 17.71, 2.042, 2.02, 0.05, 0.042, 0.0, 0.0, 0
0.228, 17.71, 2.188, 2.02, 0.05, 0.048, 0.0, 0.0, 0
0.229, 17.72, 2.18, 2.019, 0.05, 0.06, 0.0, 0.0, 0
0.23, 17.72, 2.132, 2.023, 0.05, 0.06, 0.0, 0.0, 0
0.231, 17.72, 2.196, 2.008, 0.05, 0.06, 0.0, 0.0, 0
0.232, 17.72, 2.134, 2.019, 0.05, 0.06, 0.0, 0.0, 0
0.233, 17.72, 2.21, 2.012, 0.05, 0.051, 0.0, 0.0, 0
0.234, 17.72, 2.154, 2.016, 0.05, 0.06, 0.0, 0.0, 0
0.235, 17.72, 2.114, 2.02, 0.05, 0.06, 0.0, 0.0, 0
0.236, 17.72, 2.179, 2.021, 0.05, 0.06, 0.0, 0.0, 0
0.237, 17.72, 2.169, 2.019, 0.05, 0.06, 0.0, 0.0, 0
0.238, 17.72, 2.202, 2.026, 0.05, 0.051, 0.0, 0.0, 0
0.239, 17.72, 2.243, 2.016, 0.05, 0.054, 0.0, 0.0, 0
0.24, 17.72, 2.147, 2.016, 0.05, 0.06, 0.0, 0.0, 0
0.241, 17.72, 1.978, 2.015, 0.05, 0.04, 0.0, 0.0, 0
0.242, 17.72, 2.24, 2.023, 0.05, 0.051, 0.0, 0.0, 0
0.243, 17.72, 2.218, 2.026, 0.05, 0.059, 0.0, 0.0, 0
0.244, 17.72, 2.23, 2.024, 0.05, 0.059, 0.0, 0.0, 0
0.245, 17.72, 2.101, 2.023, 0.05, 0.06, 0.0, 0.0, 0
0.246, 17.72, 2.138, 2.022, 0.05, 0.06, 0.0, 0.0, 0
0.247, 17.72, 2.168, 2.013, 0.05, 0.06, 0.0, 0.0, 0
0.248, 17.72, 2.121, 2.012, 0.05, 0.06, 0.0, 0.0, 0
0.249, 17.72, 2.176, 2.021, 0.05, 0.06, 0.0, 0.0, 0
0.25, 17.72, 2.188, 2.014, 0.05, 0.059, 0.0, 0.0, 0
0.251, 17.72, 2.248, 2.018, 0.05, 0.054, 0.0, 0.0, 0
0.252, 17.71, 2.227, 2.016, 0.05, 0.051, 0.0, 0.0, 0
0.253, 17.71, 2.206, 2.016, 0.05, 0.051, 0.0, 0.0, 0
0.254, 17.72, 2.196, 2.019, 0.05, 0.059, 0.0, 0.0, 0
0.255, 17.72, 2.164, 2.016, 0.05, 0.06, 0.0, 0.0, 0
0.256, 17.72, 2.232, 2.022, 0.05, 0.051, 0.0, 0.0, 0
0.257, 17.72, 2.149, 2.015, 0.05, 0.045, 0.0, 0.0, 0
0.258, 17.72, 2.235, 2.015, 0.05, 0.057, 0.0, 0.0, 0
0.259, 17.72, 2.161, 2.012, 0.05, 0.06, 0.0, 0.0, 0
0.26, 17.72, 2.117, 2.016, 0.05, 0.06, 0.0, 0.0, 0
0.261, 17.72, 2.219, 2.016, 0.05, 0.051, 0.0, 0.0, 0
0.262, 17.72, 2.175, 2.014, 0.05, 0.06, 0.0, 0.0, 0
0.263, 17.72, 2.117, 2.01, 0.05, 0.06, 0.0, 0.0, 0
0.264, 17.72, 2.259, 2.019, 0.05, 0.051, 0.0, 0.0, 0
0.265, 17.72, 2.16, 2.016, 0.05, 0.06, 0.0, 0.0, 0
0.266, 17.72, 2.18, 2.02, 0.05, 0.06, 0.0, 0.0, 0
0.267, 17.72, 2.124, 2.017, 0.05, 0.06, 0.0, 0.0, 0
0.268, 17.72, 2.228, 2.022, 0.05, 0.054, 0.0, 0.0, 0
0.269, 17.72, 2.215, 2.022, 0.05, 0.048, 0.0, 0.0, 0
0.27, 17.72, 2.022, 2.014, 0.05, 0.042, 0.0, 0.0, 0
0.271, 17.72, 2.271, 2.018, 0.05, 0.051, 0.0, 0.0, 0
0.272, 17.72, 2.204, 2.017, 0.05, 0.059, 0.0, 0.0, 0
0.273, 17.72, 2.235, 2.015, 0.05, 0.054, 0.0, 0.0, 0
0.274, 17.72, 2.258, 2.021, 0.05, 0.054, 0.0, 0.0, 0
0.275, 17.72, 2.202, 2.015, 0.05, 0.059, 0.0, 0.0, 0
0.276, 17.72, 2.167, 2.019, 0.05, 0.06, 0.0, 0.0, 0
0.277, 17.72, 2.202, 2.021, 0.05, 0.059, 0.0, 0.0, 0
0.278, 17.72, 2.173, 2.008, 0.05, 0.06, 0.0, 0.0, 0
0.279, 17.72, 2.219, 2.02, 0.05, 0.051, 0.0, 0.0, 0
0.28, 17.72, 2.171, 2.021, 0.05, 0.06, 0.0, 0.0, 0
0.281, 17.72, 2.183, 2.02, 0.05, 0.06, 0.0, 0.0, 0
0.282, 17.72, 2.151, 2.026, 0.05, 0.06, 0.0, 0.0, 0
0.283, 17.72, 2.116, 2.023, 0.05, 0.06, 0.0, 0.0, 0
0.284, 17.72, 2.166, 2.023, 0.05, 0.06, 0.0, 0.0, 0
0.285, 17.72, 2.117, 2.022, 0.05, 0.045, 0.0, 0.0, 0
0.286, 17.72, 2.216, 2.024, 0.05, 0.057, 0.0, 0.0, 0
0.287, 17.72, 2.231, 2.019, 0.05, 0.059, 0.0, 0.0, 0
0.288, 17.72, 2.169, 2.012, 0.05, 0.06, 0.0, 0.0, 0
0.289, 17.72, 2.231, 2.021, 0.05, 0.057, 0.0, 0.0, 0
0.29, 17.72, 2.218, 2.022, 0.05, 0.057, 0.0, 0.0, 0
0.291, 17.72, 2.073, 2.02, 0.05, 0.042, 0.0, 0.0, 0
0.292, 17.72, 2.166, 2.028, 0.05, 0.06, 0.0, 0.0, 0
